post_id,date,likes,comments,reposts,views,attachments,text
2795,2024-02-18 12:00:10,4,0,1,391,1,77
2791,2024-02-18 11:20:00,5,0,1,459,1,42
2787,2024-02-18 10:05:00,9,0,5,603,1,122
2786,2024-02-17 18:30:00,5,0,1,480,1,69
2785,2024-02-17 16:00:03,3,0,1,325,1,103
2784,2024-02-17 14:05:00,4,0,1,343,1,123
2783,2024-02-17 10:15:00,4,0,3,397,1,79
2781,2024-02-17 09:10:00,6,0,1,448,1,213
2777,2024-02-16 20:00:03,3,0,1,362,1,76
2776,2024-02-16 18:00:05,3,0,3,297,1,128
2770,2024-02-16 16:50:00,5,0,3,362,1,45
2768,2024-02-16 10:30:00,4,0,1,599,1,69
2767,2024-02-15 18:30:00,6,0,3,437,1,44
2766,2024-02-15 15:20:00,6,0,2,401,1,120
2765,2024-02-15 14:20:00,5,0,1,368,1,39
2764,2024-02-15 12:30:00,8,0,1,483,1,210
2763,2024-02-15 11:15:00,4,0,1,397,1,46
2756,2024-02-14 17:30:00,12,1,8,592,1,126
2754,2024-02-14 15:30:01,5,0,3,483,1,93
2751,2024-02-13 14:00:07,5,0,2,600,1,47
2749,2024-02-12 19:30:01,7,0,2,548,1,80
2748,2024-02-12 18:00:07,5,0,2,510,1,125
2745,2024-02-12 11:40:00,7,0,1,494,1,66
2744,2024-02-12 10:20:00,8,0,1,495,1,93
2743,2024-02-12 09:00:06,7,0,2,504,1,35
2737,2024-02-08 10:30:00,8,0,2,706,1,186
2735,2024-02-07 11:00:02,14,0,4,984,1,57
2732,2024-02-05 17:30:00,5,0,2,684,1,90
2730,2024-02-05 15:15:00,6,0,3,573,1,80
2729,2024-02-05 14:00:04,8,0,4,613,1,36
2726,2024-02-05 13:23:34,7,0,2,400,0,31
2725,2024-01-28 20:15:00,39,0,7,1094,4,79
2723,2024-01-28 18:30:35,25,0,2,1181,1,48
2722,2024-01-28 13:45:00,10,0,4,688,1,69
2720,2024-01-27 15:00:34,30,0,5,1086,1,56
2719,2024-01-27 13:30:26,24,0,8,1285,1,128
2718,2024-01-26 18:15:19,29,0,4,1004,1,56
2717,2024-01-26 12:40:00,17,0,12,760,1,38
2716,2024-01-26 11:35:00,4,0,3,500,1,30
2713,2024-01-25 19:32:34,61,1,14,1525,1,72
2711,2024-01-25 17:50:00,6,0,1,466,1,156
2709,2024-01-25 14:20:07,25,1,3,743,1,34
2707,2024-01-25 11:00:02,4,0,1,424,1,74
2705,2024-01-25 09:00:03,10,0,2,526,1,170
2703,2024-01-24 20:30:00,5,0,1,447,1,39
2702,2024-01-24 18:20:00,6,0,5,446,1,90
2701,2024-01-24 17:15:00,6,0,1,406,1,91
2700,2024-01-24 13:00:02,26,0,9,796,1,88
2698,2024-01-24 11:30:00,6,0,1,503,1,62
2697,2024-01-24 09:10:13,9,0,2,479,1,220
2691,2024-01-23 21:00:01,7,0,3,479,1,65
2690,2024-01-23 18:30:00,5,0,1,419,1,128
2687,2024-01-23 15:32:51,34,0,17,961,1,60
2686,2024-01-23 15:25:00,40,0,14,1709,1,76
2683,2024-01-23 13:00:01,9,0,1,460,2,124
2681,2024-01-22 15:30:00,7,0,4,494,1,83
2679,2024-01-21 15:00:01,7,0,3,511,1,52
2678,2024-01-21 14:00:03,9,0,1,540,1,119
2674,2024-01-20 13:50:13,26,1,16,1227,1,101
2672,2024-01-20 12:40:00,50,0,8,2006,2,30
2668,2024-01-19 20:30:00,10,0,3,542,6,58
2667,2024-01-19 17:20:00,44,3,1,1006,1,58
2666,2024-01-19 16:30:00,8,0,4,541,1,71
2664,2024-01-19 15:00:03,21,0,8,1067,4,88
2662,2024-01-19 12:00:04,5,0,2,452,1,129
2660,2024-01-18 18:20:00,5,0,2,357,1,121
2659,2024-01-18 16:30:00,4,0,1,330,1,47
2658,2024-01-18 14:00:03,9,0,2,569,1,114
2657,2024-01-18 12:40:00,5,0,2,362,1,45
2654,2024-01-17 18:30:00,8,0,4,479,1,136
2653,2024-01-17 15:00:03,6,0,2,332,1,100
2645,2024-01-17 12:40:00,5,0,1,289,1,60
2642,2024-01-17 10:40:00,10,0,2,354,1,68
2641,2024-01-16 18:00:02,6,0,1,289,1,64
